tinh,huyen,xa,diaban,hoso,m7c1,m7c2,m7c3,m7c4,m7c5,m7c6,m7c7,m7c8,m7c9,m7c10,m7c11,m7c12,m7c13,m7c14,m7c15,m7c16,m7c17,m7c18,m7c19,m7c20a,m7c20b,m7c21,m7c22,m7c23,m7c23a,m7c24,m7c241,m7c242,m7c25,m7c251,m7c252,m7c253,m7c254,m7c26,m7c27,m7c27a,m7c28,m7c29,m7c30,m7c31,m7c32,m7c33,m7c34,m7c35,m7c36,m7c37,m7c38,m7c39,m7c391,m7c40,m7c41,m7c42,m7c43,m7c44
101,6,21.0,13,14,1,50.0,4.0,1991.0,,1.0,2.0,,,,,1000000.0,2.0,,,,,,1.0,3.0,1991.0,,2.0,,,6500.0,,,0.0,,,,,1,,,1,1,,1,420.0,1,1,1,840.0,1,1,72.0,,7832,2,,,
101,6,21.0,13,15,1,130.0,4.0,1998.0,,1.0,2.0,,,,,1600000.0,2.0,,,,,,1.0,-1.0,1984.0,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,480.0,1,1,1,2400.0,1,1,144.0,,3024,1,1.0,12.0,-1.0
101,6,25.0,5,13,1,100.0,2.0,1996.0,,1.0,2.0,,,,,3000000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,4,2.0,1,1200.0,1,1,1,2400.0,1,1,180.0,,3780,2,,,
101,6,25.0,5,14,1,150.0,2.0,2000.0,,3.0,2.0,,,,,4000000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,4,2.0,1,720.0,1,1,1,1800.0,1,1,144.0,,2664,1,2.0,,
101,6,25.0,5,15,1,60.0,2.0,1998.0,,1.0,2.0,,,,,800000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,4,2.0,1,100.0,1,1,1,960.0,1,1,108.0,,1168,1,2.0,,
101,6,27.0,5,13,1,100.0,2.0,1999.0,,1.0,2.0,,,,,3000000.0,2.0,,,,,,1.0,6.0,1998.0,,2.0,,,0.0,,,0.0,,,,,4,1.0,1.0,1,4,1.0,2,,1,1,1,4200.0,1,1,72.0,,4272,2,,,
101,6,27.0,5,14,1,50.0,4.0,1984.0,,1.0,2.0,,,,,800000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,4,1.0,1.0,1,4,1.0,2,,2,1,1,960.0,1,1,144.0,,1104,2,,,
101,6,27.0,5,15,1,100.0,4.0,1971.0,,1.0,2.0,,,,,1500000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,4,1.0,1.0,1,4,1.0,2,,3,1,1,600.0,1,1,144.0,,744,2,,,
101,7,3.0,19,13,1,108.0,2.0,1993.0,,1.0,2.0,,,,,1200000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,1320.0,1,1,1,4800.0,1,1,168.0,,6288,1,1.0,12.0,150.0
101,7,3.0,19,14,1,20.0,2.0,1989.0,,1.0,2.0,,,,,760000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,420.0,1,1,1,4200.0,1,1,150.0,,4770,2,,,
