tinh,huyen,xa,diaban,hoso,matv,m4ac1a,m4ac1b,m4ac1c,m4ac2,m4ac3,m4ac4,m4ac5,m4ac6,m4ac7,m4ac8,m4ac9,m4ac10a,m4ac10b,m4ac11,m4ac12a,m4ac12b,m4ac12c,m4ac12d,m4ac12e,m4ac12f,m4ac13,m4ac14,m4ac15,m4ac16,m4ac17,m4ac18,m4ac19,m4ac20,m4ac21,m4ac22a,m4ac22b,m4ac22c,m4ac22d,m4ac22e,m4ac22f,m4ac23,m4ac24,m4ac25,m4ac26,m4ac27
607,3,11.0,21,13,4,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,11.0,21,13,5,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,11.0,21,14,1,2,1,2,1,,61.0,1.0,12.0,25.0,7.0,18.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,2.0
607,3,11.0,21,14,2,1,1,2,1,,92.0,1.0,7.0,25.0,7.0,18.0,2.0,,,,,,,,0,1.0,52.0,47.0,5.0,25.0,9.0,2.0,3.0,9302.0,620.0,0.0,0.0,0.0,0.0,620,2.0,,,1,3.0
607,3,11.0,21,14,3,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,11.0,21,15,1,2,2,2,2,5.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,15.0,1,13,1,2,1,2,1,,61.0,1.0,12.0,25.0,6.0,12.0,2.0,,,,,,,,0,1.0,61.0,3.0,12.0,30.0,1.0,6.0,2.0,,,,,,,0,2.0,,,2,
607,3,15.0,1,13,2,2,1,2,1,,92.0,1.0,12.0,15.0,6.0,12.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,2.0
607,3,15.0,1,13,3,1,1,2,1,,92.0,1.0,11.0,25.0,6.0,5.0,2.0,,,,,,,,0,1.0,92.0,1.0,1.0,30.0,8.0,2.0,3.0,2352.0,0.0,0.0,0.0,0.0,0.0,0,2.0,,,2,
607,3,15.0,1,13,4,1,1,2,1,,73.0,32.0,12.0,26.0,7.0,1.0,3.0,,8231.0,0.0,0.0,0.0,0.0,0.0,0,1.0,92.0,1.0,2.0,15.0,6.0,2.0,2.0,,,,,,,0,2.0,,,1,2.0
607,3,15.0,1,13,5,1,1,2,1,,73.0,32.0,12.0,26.0,7.0,4.0,3.0,,14110.0,0.0,0.0,0.0,0.0,0.0,0,1.0,92.0,1.0,2.0,15.0,6.0,1.0,2.0,,,,,,,0,2.0,,,1,1.0
607,3,15.0,1,14,1,1,1,2,1,,92.0,1.0,12.0,15.0,8.0,12.0,2.0,,,,,,,,0,1.0,92.0,1.0,12.0,15.0,8.0,12.0,3.0,11774.0,0.0,0.0,0.0,0.0,0.0,0,2.0,,,1,1.0
607,3,15.0,1,14,2,1,1,2,1,,92.0,1.0,12.0,15.0,8.0,12.0,2.0,,,,,,,,0,1.0,92.0,1.0,12.0,7.0,8.0,12.0,3.0,5494.0,0.0,0.0,0.0,0.0,0.0,0,2.0,,,1,1.0
607,3,15.0,1,14,3,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,15.0,1,14,4,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,15.0,1,15,1,1,1,2,1,,92.0,1.0,4.0,10.0,4.0,6.0,3.0,,3565.0,0.0,0.0,0.0,0.0,0.0,0,1.0,92.0,1.0,5.0,10.0,7.0,10.0,2.0,,,,,,,0,2.0,,,1,2.0
607,3,15.0,1,15,2,1,1,2,1,,92.0,1.0,5.0,10.0,8.0,4.0,3.0,,6239.0,0.0,0.0,0.0,0.0,713.0,713,1.0,92.0,1.0,6.0,8.0,8.0,2.0,2.0,,,,,,,0,2.0,,,1,1.0
607,3,15.0,1,15,3,2,2,2,2,2.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1.0
607,3,15.0,1,15,4,1,2,2,1,,92.0,1.0,2.0,20.0,4.0,0.0,3.0,,1427.0,0.0,0.0,0.0,0.0,0.0,0,2.0,,,,,,,,,,,,,,0,,,,1,1.0
607,3,19.0,30,13,1,2,2,1,1,,71.0,8.0,12.0,23.0,6.0,3.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,2,
607,3,19.0,30,13,2,2,1,2,1,,61.0,1.0,12.0,30.0,4.0,20.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,5.0
607,3,19.0,30,13,3,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1.0
607,3,19.0,30,13,4,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,19.0,30,13,5,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,19.0,30,13,6,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,19.0,30,13,7,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,19.0,30,14,1,1,1,1,1,,91.0,46.0,8.0,30.0,6.0,7.0,2.0,,,,,,,,0,1.0,92.0,1.0,3.0,20.0,8.0,10.0,2.0,,,,,,,0,1.0,1.0,3225.0,2,
607,3,19.0,30,14,2,2,2,1,1,,91.0,46.0,12.0,30.0,6.0,7.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,1.0
607,3,19.0,30,14,3,1,2,2,1,,74.0,14.0,12.0,27.0,8.0,3.0,3.0,,14883.0,0.0,0.0,0.0,0.0,2411.0,2411,2.0,,,,,,,,,,,,,,0,,,,1,2.0
607,3,19.0,30,14,4,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
