tinh,huyen,xa,diaban,hoso,total_hours_x,total_income_x,num_workers_x,hsize_x,hsize_y,avg_hours_per_worker_x,normalized_hours_x,total_hours_y,total_income_y,num_workers_y,avg_hours_per_worker_y,normalized_hours_y,avg_consumption_per_member
101,21,27.0,8,13,12020.0,47979.0,4,6.0,6,3005.0,0.7223557692307693,12020.0,47979.0,4,3005.0,0.7223557692307693,9424.35
101,21,31.0,15,14,6432.0,60193.0,3,6.0,6,2144.0,0.5153846153846153,6432.0,60193.0,3,2144.0,0.5153846153846153,9775.733333333332
101,23,23.0,38,15,4992.0,21643.0,2,5.0,5,2496.0,0.6,4992.0,21643.0,2,2496.0,0.6,8280.52
101,23,47.0,15,13,6240.0,22469.0,2,5.0,5,3120.0,0.75,6240.0,22469.0,2,3120.0,0.75,7746.8
101,23,47.0,15,15,2844.0,14325.0,1,5.0,5,2844.0,0.6836538461538462,2844.0,14325.0,1,2844.0,0.6836538461538462,7043.039999999999
103,1,1.0,9,19,2496.0,15932.0,1,3.0,3,2496.0,0.6,2496.0,15932.0,1,2496.0,0.6,12412.5
103,1,7.0,25,13,4992.0,111325.0,2,6.0,6,2496.0,0.6,4992.0,111325.0,2,2496.0,0.6,15636.166666666666
103,1,11.0,18,15,11472.0,51588.0,4,5.0,5,2868.0,0.6894230769230769,11472.0,51588.0,4,2868.0,0.6894230769230769,7647.8
103,1,17.0,7,15,576.0,3361.0,1,2.0,2,576.0,0.13846153846153847,576.0,3361.0,1,576.0,0.13846153846153847,27822.95
103,1,17.0,7,19,5592.0,114440.0,2,6.0,6,2796.0,0.6721153846153847,5592.0,114440.0,2,2796.0,0.6721153846153847,15089.166666666666
103,3,1.0,27,14,2496.0,51260.0,1,4.0,4,2496.0,0.6,2496.0,51260.0,1,2496.0,0.6,10316.325
103,3,5.0,7,15,5168.0,19405.0,2,5.0,5,2584.0,0.6211538461538462,5168.0,19405.0,2,2584.0,0.6211538461538462,3175.2799999999997
103,3,5.0,7,20,3264.0,47553.0,2,6.0,6,1632.0,0.3923076923076923,3264.0,47553.0,2,1632.0,0.3923076923076923,5844.849999999999
103,3,9.0,20,14,2080.0,35555.0,1,3.0,3,2080.0,0.5,2080.0,35555.0,1,2080.0,0.5,19147.7
103,3,9.0,20,15,1296.0,16873.0,1,3.0,3,1296.0,0.31153846153846154,1296.0,16873.0,1,1296.0,0.31153846153846154,11757.1
103,3,19.0,12,13,2496.0,43889.0,1,4.0,4,2496.0,0.6,2496.0,43889.0,1,2496.0,0.6,21145.575
103,3,19.0,12,14,4608.0,33596.0,2,3.0,3,2304.0,0.5538461538461539,4608.0,33596.0,2,2304.0,0.5538461538461539,17002.899999999998
103,3,23.0,12,22,4608.0,93997.0,2,5.0,5,2304.0,0.5538461538461539,4608.0,93997.0,2,2304.0,0.5538461538461539,12736.34
103,4,3.0,8,13,6680.0,28725.0,2,4.0,4,3340.0,0.8028846153846154,6680.0,28725.0,2,3340.0,0.8028846153846154,7294.6
103,4,3.0,8,14,5736.0,38590.0,2,4.0,4,2868.0,0.6894230769230769,5736.0,38590.0,2,2868.0,0.6894230769230769,9613.425
103,4,3.0,8,19,5000.0,20802.0,2,4.0,4,2500.0,0.6009615384615384,5000.0,20802.0,2,2500.0,0.6009615384615384,9003.775
103,4,5.0,19,14,1100.0,3838.0,1,3.0,3,1100.0,0.2644230769230769,1100.0,3838.0,1,1100.0,0.2644230769230769,8276.833333333334
103,4,5.0,19,20,2496.0,9953.0,1,4.0,4,2496.0,0.6,2496.0,9953.0,1,2496.0,0.6,5659.1
103,4,11.0,28,19,594.0,2586.0,1,5.0,5,594.0,0.14278846153846153,594.0,2586.0,1,594.0,0.14278846153846153,9402.84
103,5,7.0,18,15,2880.0,16757.0,1,4.0,4,2880.0,0.6923076923076923,2880.0,16757.0,1,2880.0,0.6923076923076923,8450.825
103,5,15.0,16,19,5616.0,79440.0,2,4.0,4,2808.0,0.675,5616.0,79440.0,2,2808.0,0.675,9996.599999999999
103,5,19.0,2,13,2496.0,20224.0,1,5.0,5,2496.0,0.6,2496.0,20224.0,1,2496.0,0.6,10400.78
103,5,19.0,2,15,2600.0,94441.0,1,4.0,4,2600.0,0.625,2600.0,94441.0,1,2600.0,0.625,13245.5
103,5,24.0,27,13,6528.0,28478.0,3,4.0,4,2176.0,0.5230769230769231,6528.0,28478.0,3,2176.0,0.5230769230769231,10327.875
103,5,24.0,27,14,3240.0,9461.0,1,4.0,4,3240.0,0.7788461538461539,3240.0,9461.0,1,3240.0,0.7788461538461539,6876.625
103,5,24.0,27,15,4160.0,88774.0,2,2.0,2,2080.0,0.5,4160.0,88774.0,2,2080.0,0.5,49974.65
103,5,27.0,27,15,1925.0,62220.0,1,2.0,2,1925.0,0.46274038461538464,1925.0,62220.0,1,1925.0,0.46274038461538464,26390.75
103,7,1.0,21,15,5184.0,33976.0,2,4.0,4,2592.0,0.6230769230769231,5184.0,33976.0,2,2592.0,0.6230769230769231,7424.825
103,7,13.0,18,14,9472.0,64551.0,4,4.0,4,2368.0,0.5692307692307692,9472.0,64551.0,4,2368.0,0.5692307692307692,8765.25
103,7,13.0,18,15,2400.0,26461.0,1,5.0,5,2400.0,0.5769230769230769,2400.0,26461.0,1,2400.0,0.5769230769230769,4515.4
103,9,3.0,8,13,2112.0,25177.0,1,2.0,2,2112.0,0.5076923076923077,2112.0,25177.0,1,2112.0,0.5076923076923077,8353.4
103,9,3.0,8,14,2496.0,17111.0,1,7.0,7,2496.0,0.6,2496.0,17111.0,1,2496.0,0.6,8104.814285714286
103,10,39.0,1,13,6144.0,36651.0,3,6.0,6,2048.0,0.49230769230769234,6144.0,36651.0,3,2048.0,0.49230769230769234,10265.983333333334
103,10,39.0,1,14,3840.0,62323.0,2,5.0,5,1920.0,0.46153846153846156,3840.0,62323.0,2,1920.0,0.46153846153846156,9133.6
103,10,39.0,1,15,3096.0,24556.0,1,3.0,3,3096.0,0.7442307692307693,3096.0,24556.0,1,3096.0,0.7442307692307693,9711.366666666667
103,11,5.0,13,14,1920.0,30129.0,1,4.0,4,1920.0,0.46153846153846156,1920.0,30129.0,1,1920.0,0.46153846153846156,7755.65
103,11,5.0,13,19,1452.0,7726.0,1,2.0,2,1452.0,0.3490384615384615,1452.0,7726.0,1,1452.0,0.3490384615384615,7110.849999999999
103,11,7.0,3,13,2592.0,13578.0,1,4.0,4,2592.0,0.6230769230769231,2592.0,13578.0,1,2592.0,0.6230769230769231,10944.175
103,11,7.0,3,14,1920.0,9080.0,1,3.0,3,1920.0,0.46153846153846156,1920.0,9080.0,1,1920.0,0.46153846153846156,10975.6
103,11,7.0,3,15,1800.0,7429.0,1,3.0,3,1800.0,0.4326923076923077,1800.0,7429.0,1,1800.0,0.4326923076923077,11491.633333333333
103,11,14.0,26,13,4936.0,35164.0,2,3.0,3,2468.0,0.5932692307692308,4936.0,35164.0,2,2468.0,0.5932692307692308,12330.799999999997
103,11,27.0,4,13,6768.0,25336.0,4,5.0,5,1692.0,0.40673076923076923,6768.0,25336.0,4,1692.0,0.40673076923076923,5091.719999999999
103,11,27.0,4,15,4960.0,31863.0,2,6.0,6,2480.0,0.5961538461538461,4960.0,31863.0,2,2480.0,0.5961538461538461,6303.583333333333
103,11,35.0,7,13,1998.0,11586.0,1,4.0,4,1998.0,0.48028846153846155,1998.0,11586.0,1,1998.0,0.48028846153846155,5132.7
103,11,35.0,7,14,4192.0,12433.0,2,5.0,5,2096.0,0.5038461538461538,4192.0,12433.0,2,2096.0,0.5038461538461538,3632.0
103,11,43.0,17,13,3120.0,10978.0,1,6.0,6,3120.0,0.75,3120.0,10978.0,1,3120.0,0.75,5335.75
103,11,43.0,17,14,2112.0,12700.0,1,6.0,6,2112.0,0.5076923076923077,2112.0,12700.0,1,2112.0,0.5076923076923077,6633.516666666666
103,11,43.0,17,15,1248.0,6438.0,1,4.0,4,1248.0,0.3,1248.0,6438.0,1,1248.0,0.3,4456.225
103,11,51.0,8,13,504.0,3257.0,1,2.0,2,504.0,0.12115384615384615,504.0,3257.0,1,504.0,0.12115384615384615,8656.4
103,11,57.0,17,13,7704.0,37987.0,3,4.0,4,2568.0,0.6173076923076923,7704.0,37987.0,3,2568.0,0.6173076923076923,8319.525000000001
103,11,57.0,17,15,1920.0,9575.0,1,4.0,4,1920.0,0.46153846153846156,1920.0,9575.0,1,1920.0,0.46153846153846156,6451.575
103,11,63.0,7,15,4224.0,28172.0,2,4.0,4,2112.0,0.5076923076923077,4224.0,28172.0,2,2112.0,0.5076923076923077,5714.5
103,11,71.0,14,15,7452.0,48718.0,3,6.0,6,2484.0,0.5971153846153846,7452.0,48718.0,3,2484.0,0.5971153846153846,9682.816666666668
103,13,1.0,11,15,5200.0,27900.0,3,6.0,6,1733.3333333333333,0.41666666666666663,5200.0,27900.0,3,1733.3333333333333,0.41666666666666663,7138.283333333333
103,13,7.0,12,14,2160.0,19852.0,1,3.0,3,2160.0,0.5192307692307693,2160.0,19852.0,1,2160.0,0.5192307692307693,13867.166666666666
103,13,13.0,9,13,5280.0,27569.0,2,6.0,6,2640.0,0.6346153846153846,5280.0,27569.0,2,2640.0,0.6346153846153846,7200.599999999999
103,13,13.0,9,14,1560.0,11708.0,1,4.0,4,1560.0,0.375,1560.0,11708.0,1,1560.0,0.375,4664.1
